Concentration,E Mean,E Stdev,Yield Strength Mean,Yield Strength Stdev,Plateau Slope Mean,Plateau Slope Stdev,Densification Slope Mean,Densification Slope Stdev,Changepoint Mean,Changepoint Stdev
10,21.35375513938416,16.376176486664562,8.58955113409928,9.502179424349466,300.2493843798661,397.7279104633395,2210.7380583142563,1100.3661913511562,0.7355922231439656,0.11141580386387862
10,22.319251428861893,2.0990392105516786,2.775847857027667,0.3268770308149586,19.77218345983406,0.7458183307633314,1393.6289451971684,51.33191706741141,0.8543130284658675,0.01658465843204629
10,51.9323947101399,30.18803981636535,21.52689719683634,17.316562206445116,85.76602692897823,46.23109050797751,1713.1999708024134,308.0172871244906,0.8620301672943524,0.18291743014418127
10,35.911225175491346,18.845020116181466,18.881557074205972,5.555957154428014,118.24527597943921,106.18328989748436,1796.0181852176538,241.84022260497576,0.9584600114762896,0.19295081056740004
10,38.725873059488734,39.90603300283475,20.176822876056995,15.128724431768324,155.6445388678654,136.43899629947958,1926.009368912346,868.5636186129184,1.0135393760032532,0.3030644963962217
10,47.98538608647408,29.972382481549968,7.6339924074695045,2.9645776984091596,41.48377404401377,18.877016266700736,1089.7911149345696,143.14231649938557,0.8654829749171975,0.2437902427769416
12,36.26557388162437,1.2161203996114138,3.7168415004879036,0.23325787064230674,28.31139992833585,0.7571625315479156,1271.591796931167,70.2538574251225,0.7617377222580378,0.02454724349984847
12,64.28121659331244,4.058629044042563,18.911344070344224,9.992147236131105,46.72221777080344,12.807650244732885,1472.944079229619,87.2829202409803,0.7396761031612566,0.21016983165903216
12,64.28121659331244,4.058629044042563,18.911344070344224,9.992147236131105,46.72221777080344,12.807650244732885,1472.944079229619,87.2829202409803,0.7396761031612566,0.21016983165903216
12,91.10799680352655,9.365149411401928,33.86950980777134,17.61092193272855,52.078280367852905,9.483743277658016,1556.2972673098598,127.89344967674953,0.6793610197521502,0.2057099029874176
12,95.85714620782613,10.510974735549196,40.63161639739269,3.3125689275323027,44.50961790367932,19.95094743956719,1447.2458739179012,124.45384924012326,0.616568400939878,0.08690933558852122
12,39.368195938943714,7.398606201938723,6.173425686220346,2.7426976729093178,22.929861818024,2.532870841134557,1433.4785298685267,249.9230783275714,0.8242745798792075,0.11260844664116142
14,87.55507653376091,6.072629995122167,7.7985339833235,0.6113053131603052,43.45658503293233,1.548999495978811,965.3061653934756,15.790986400844822,0.6698124062809976,0.009061251526638692
15,119.60661844240971,3.2986502696842956,9.664295560566458,0.5281174840456272,53.973960359129336,1.9643534163759233,935.1704241558019,32.24295191854826,0.6401852431662222,0.010933032385876245
16,162.2247634117639,3.060091739026771,12.479022410867508,0.2862106924473226,60.63649693829596,0.5160251882934125,992.2897877388004,36.28034222499056,0.5979662250350695,0.007370732770300169
17,157.2840503239443,5.521035954696848,13.154910155861494,2.1522531329004098,71.52805742127416,1.3311053136748559,899.2557594021295,13.050393623505496,0.606109971978596,0.009723849394806227
17,170.52117796723775,8.33239267566724,12.784186949312575,0.6376279835595706,74.53076610394399,2.301998741255382,896.0780719983908,29.152153618277605,0.5991617518239948,0.003297587388514796
17,176.9870277245643,2.8908212430470246,13.245633253018942,0.40918943956790405,76.22560843134644,1.768101692688546,836.8548908088828,34.869549360432856,0.5935801931295165,0.005493502105568409
17,271.2512589849729,16.790963400842116,24.680299153621398,14.622550486040621,222.4007974034909,52.13136036410481,685.5171930707556,157.7649460778113,0.47765642401292424,0.06467773346990348
